support,itemsets,cluster
0.03671,"A, ,,  , i, ,,  , r, ,,  ,  , ,,  , F, ,,  , r, ,,  , e, ,,  , s, ,,  , h, ,,  , e, ,,  , n, ,,  , e, ,,  , r",2
0.03588,"A, ,,  , p, ,,  , p, ,,  , l, ,,  , e",0
0.03667,"B, ,,  , B, ,,  , Q, ,,  ,  , ,,  , S, ,,  , a, ,,  , u, ,,  , c, ,,  , e",2
0.03603,"B, ,,  , a, ,,  , b, ,,  , y, ,,  ,  , ,,  , W, ,,  , i, ,,  , p, ,,  , e, ,,  , s",2
0.03643,"B, ,,  , a, ,,  , n, ,,  , a, ,,  , n, ,,  , a",2
0.03603,"B, ,,  , a, ,,  , t, ,,  , h, ,,  ,  , ,,  , T, ,,  , o, ,,  , w, ,,  , e, ,,  , l, ,,  , s",2
0.03554,"B, ,,  , e, ,,  , e, ,,  , f",0
0.03633,"B, ,,  , r, ,,  , e, ,,  , a, ,,  , d",2
0.03635,"B, ,,  , r, ,,  , o, ,,  , o, ,,  , m",2
0.03653,"B, ,,  , u, ,,  , t, ,,  , t, ,,  , e, ,,  , r",2
0.03625,"C, ,,  , a, ,,  , n, ,,  , n, ,,  , e, ,,  , d, ,,  ,  , ,,  , S, ,,  , o, ,,  , u, ,,  , p",2
0.03685,"C, ,,  , a, ,,  , r, ,,  , r, ,,  , o, ,,  , t, ,,  , s",2
0.03616,"C, ,,  , e, ,,  , r, ,,  , e, ,,  , a, ,,  , l",2
0.03593,"C, ,,  , e, ,,  , r, ,,  , e, ,,  , a, ,,  , l, ,,  ,  , ,,  , B, ,,  , a, ,,  , r, ,,  , s",0
0.03628,"C, ,,  , h, ,,  , e, ,,  , e, ,,  , s, ,,  , e",2
0.03664,"C, ,,  , h, ,,  , i, ,,  , c, ,,  , k, ,,  , e, ,,  , n",2
0.03556,"C, ,,  , h, ,,  , i, ,,  , p, ,,  , s",0
0.03604,"C, ,,  , l, ,,  , e, ,,  , a, ,,  , n, ,,  , i, ,,  , n, ,,  , g, ,,  ,  , ,,  , R, ,,  , a, ,,  , g, ,,  , s",2
0.03645,"C, ,,  , l, ,,  , e, ,,  , a, ,,  , n, ,,  , i, ,,  , n, ,,  , g, ,,  ,  , ,,  , S, ,,  , p, ,,  , r, ,,  , a, ,,  , y",2
0.0352,"C, ,,  , o, ,,  , f, ,,  , f, ,,  , e, ,,  , e",0
0.03555,"D, ,,  , e, ,,  , o, ,,  , d, ,,  , o, ,,  , r, ,,  , a, ,,  , n, ,,  , t",0
0.03519,"D, ,,  , i, ,,  , a, ,,  , p, ,,  , e, ,,  , r, ,,  , s",0
0.03644,"D, ,,  , i, ,,  , s, ,,  , h, ,,  ,  , ,,  , S, ,,  , o, ,,  , a, ,,  , p",2
0.03601,"D, ,,  , i, ,,  , s, ,,  , h, ,,  , w, ,,  , a, ,,  , r, ,,  , e",2
0.03584,"D, ,,  , u, ,,  , s, ,,  , t, ,,  , p, ,,  , a, ,,  , n",0
0.03572,"E, ,,  , g, ,,  , g, ,,  , s",0
0.03619,"E, ,,  , x, ,,  , t, ,,  , e, ,,  , n, ,,  , s, ,,  , i, ,,  , o, ,,  , n, ,,  ,  , ,,  , C, ,,  , o, ,,  , r, ,,  , d, ,,  , s",2
